Day,Record_High
12/21/2023,65
12/22/2023,71
12/23/2023,66
12/24/2023,72
12/25/2023,66
12/26/2023,63
12/27/2023,63
12/28/2023,65
12/29/2023,70
12/30/2023,65
12/31/2023,63
